roll_no,gender,math_score,reading_score,writing_score,science_score
std-02,male,65,100,67,96
std-03,male,10,99,97,58
std-09,male,28,79,100,76
std-13,male,29,71,76,91
std-15,male,72,97,52,67
std-16,male,23,96,34,54
std-17,male,35,70,87,91
std-24,male,85,97,43,57
std-26,male,100,38,74,95
std-28,male,47,49,98,46
std-34,male,41,77,97,65
std-38,male,36,70,57,93
std-39,male,68,66,86,99
std-40,male,97,89,64,66
std-41,male,38,97,55,62
std-42,male,38,92,95,50
std-45,male,64,81,73,96
std-49,male,69,98,98,46
std-52,male,42,64,57,94
std-54,male,58,100,59,9
std-55,male,52,98,73,75
std-57,male,27,55,100,38
std-58,male,46,91,30,69
std-60,male,51,73,100,60
std-61,male,32,100,77,61
std-66,male,81,88,100,100
std-67,male,98,40,32,51
std-70,male,100,62,32,74
std-73,male,20,73,100,56
std-78,male,55,58,98,74
std-79,male,32,100,78,36
std-81,male,47,70,100,90
std-82,male,48,76,80,100
std-93,male,43,86,83,93
std-96,male,93,85,30,79
std-97,male,66,91,95,59
std-100,male,0,37,62,94
std-104,male,46,98,96,100
std-105,male,13,100,68,10
std-108,male,39,64,93,77
std-113,male,44,89,100,88
std-115,male,54,95,71,80
std-118,male,66,91,40,40
std-119,male,18,95,72,49
std-122,male,98,68,100,69
std-123,male,85,98,64,73
std-124,male,75,90,51,91
std-125,male,97,100,69,58
std-127,male,50,100,67,100
std-129,male,23,100,92,67
std-131,male,61,59,100,54
std-132,male,73,78,96,81
std-133,male,88,85,79,100
std-134,male,60,92,41,28
std-135,male,25,82,80,94
std-136,male,93,81,75,91
std-138,male,64,65,81,100
std-141,male,33,88,31,97
std-144,male,44,17,92,86
std-145,male,19,84,99,62
std-148,male,24,77,94,9
std-149,male,76,91,100,41
std-150,male,74,62,86,91
std-154,male,75,100,100,34
std-156,male,34,91,64,44
std-160,male,57,59,95,99
std-161,male,0,93,66,80
std-163,male,27,100,73,82
std-164,male,17,97,63,44
std-166,male,16,100,47,32
std-167,male,89,68,64,99
std-169,male,40,98,53,84
std-176,male,30,69,93,91
std-177,male,68,91,65,98
std-182,male,58,95,33,49
std-183,male,49,70,93,64
std-185,male,55,86,70,92
std-186,male,49,90,55,94
std-187,male,41,72,63,97
std-189,male,16,100,88,36
std-190,male,37,99,52,45
std-192,male,45,100,46,73
std-194,male,62,91,89,63
std-199,male,50,91,78,35
std-201,male,80,100,84,46
std-204,male,9,95,88,68
std-208,male,16,50,81,100
std-209,male,65,92,49,30
std-213,male,66,95,50,73
std-218,male,35,100,47,67
std-221,male,40,83,99,100
std-222,male,79,100,62,63
std-232,male,11,57,91,93
std-234,male,12,64,74,92
std-235,male,11,93,56,92
std-241,male,77,72,94,63
std-248,male,43,100,73,42
std-249,male,24,52,54,91
std-250,male,26,63,96,42
std-251,female,68,53,100,41
std-252,male,72,100,100,46
std-258,male,82,100,75,71
std-260,male,83,52,92,77
std-261,male,99,78,81,97
std-262,male,79,73,94,78
std-268,male,60,93,63,47
std-269,male,53,94,92,63
std-270,male,72,98,73,77
std-271,male,0,85,99,47
std-281,male,46,92,52,32
std-288,male,69,36,65,94
std-290,male,68,100,100,62
std-294,male,48,94,100,49
std-296,male,37,100,96,64
std-298,male,49,98,79,69
std-300,male,67,100,64,80
std-303,male,75,96,100,100
std-306,male,37,100,70,87
std-311,male,59,100,69,75
std-312,male,98,100,95,67
std-313,male,63,100,55,38
std-314,male,64,99,77,89
std-315,male,25,51,95,48
std-319,male,29,93,69,60
std-322,male,98,60,70,69
std-324,male,71,100,73,40
std-327,male,35,95,57,57
std-328,male,42,100,100,80
std-330,male,46,94,100,64
std-334,male,57,92,96,79
std-336,male,45,74,59,100
std-337,male,77,96,58,90
std-340,male,30,100,87,54
std-343,male,92,70,45,69
std-350,male,68,100,77,89
std-351,male,54,79,36,94
std-352,male,79,91,83,66
std-360,male,50,100,76,62
std-364,male,57,73,87,91
std-365,male,47,60,100,76
std-366,male,94,63,72,97
std-368,male,70,84,96,81
std-370,male,87,78,100,47
std-372,male,71,97,86,83
std-373,male,59,34,93,46
std-376,male,25,88,91,89
std-379,male,60,63,95,53
std-380,male,70,100,78,89
std-383,male,23,96,67,38
std-388,male,18,87,100,26
std-390,male,38,100,72,44
std-391,male,20,89,88,96
std-396,male,89,99,60,62
std-397,male,36,100,61,75
std-399,male,99,100,44,17
std-400,male,27,50,51,98
std-401,male,60,100,100,56
std-402,male,48,71,91,98
std-407,male,54,55,66,100
std-411,male,58,85,44,95
std-415,male,100,73,51,100
std-417,male,50,77,91,46
std-419,male,37,95,72,57
std-420,male,98,60,96,50
std-425,male,57,67,47,95
std-429,male,77,93,85,81
std-431,male,35,74,100,94
