score_id,roll_no,math_score,reading_score,writing_score,science_score,total_score
1,std-01,89,38,85,26,238
2,std-02,65,100,67,96,328
3,std-03,10,99,97,58,264
4,std-04,22,51,41,84,198
5,std-05,26,58,64,65,213
6,std-06,40,49,69,48,206
7,std-07,34,48,84,73,239
8,std-08,25,80,34,17,156
9,std-09,28,79,100,76,283
10,std-10,71,22,85,39,217
11,std-11,55,64,87,60,266
12,std-12,58,53,54,55,228
13,std-13,29,71,76,91,293
14,std-14,18,70,73,45,162
15,std-15,72,97,52,67,289
16,std-16,23,96,34,54,268
17,std-17,35,70,87,91,283
18,std-18,38,82,82,73,268
19,std-19,41,76,78,67,280
20,std-20,22,73,73,75,224
21,std-21,44,71,50,47,208
22,std-22,58,68,62,54,195
23,std-23,39,71,49,78,237
24,std-24,85,97,43,57,282
25,std-25,30,63,63,9,165
26,std-26,100,38,74,95,307
27,std-27,61,64,81,44,250
28,std-28,47,49,98,46,240
29,std-29,37,57,57,82,233
30,std-30,49,54,61,78,242
31,std-31,72,89,64,81,306
32,std-32,18,69,82,9,178
33,std-33,11,67,60,31,169
34,std-34,41,77,97,65,280
35,std-35,32,71,74,70,247
36,std-36,85,76,74,57,292
37,std-37,78,82,52,71,283
38,std-38,36,70,57,93,256
39,std-39,68,66,86,99,319
40,std-40,97,89,64,66,316
41,std-41,38,97,55,62,252
42,std-42,38,92,95,50,275
43,std-43,58,38,54,65,215
44,std-44,78,71,81,71,313
45,std-45,64,81,73,96,297
46,std-46,60,43,33,67,212
47,std-47,60,56,78,67,268
48,std-48,38,90,53,60,241
49,std-49,69,98,98,46,311
50,std-50,87,63,48,55,253
51,std-51,83,56,73,67,272
52,std-52,42,64,57,94,257
53,std-53,72,71,69,28,242
54,std-54,58,100,59,9,212
55,std-55,52,98,73,75,298
56,std-56,65,66,60,57,248
57,std-57,27,55,100,38,220
58,std-58,46,91,30,69,236
59,std-59,12,83,74,63,232
60,std-60,51,73,100,60,284
61,std-61,32,100,77,61,270
62,std-62,75,86,73,79,313
63,std-63,60,53,82,71,266
64,std-64,20,76,63,71,230
65,std-65,85,82,80,72,319
66,std-66,81,88,100,100,369
67,std-67,98,40,32,51,221
68,std-68,72,90,61,65,288
69,std-69,83,89,56,74,302
70,std-70,100,62,32,74,268
71,std-71,24,86,68,52,230
72,std-72,71,90,68,72,301
73,std-73,20,73,100,56,249
74,std-74,23,57,65,65,210
75,std-75,82,30,53,75,240
76,std-76,49,30,53,33,165
77,std-77,35,62,33,46,176
78,std-78,55,58,98,74,285
79,std-79,32,100,78,36,246
80,std-80,19,60,25,78,182
81,std-81,47,70,100,90,307
82,std-82,48,76,80,100,304
83,std-83,29,77,44,79,229
84,std-84,34,70,41,53,198
85,std-85,74,69,26,60,229
86,std-86,44,90,58,72,264
87,std-87,28,82,87,52,249
88,std-88,72,76,49,88,285
89,std-89,43,82,50,56,231
90,std-90,71,65,59,60,255
91,std-91,62,58,45,33,198
92,std-92,42,60,80,74,256
93,std-93,43,86,83,93,305
94,std-94,21,60,18,66,165
95,std-95,72,86,23,62,243
96,std-96,93,85,30,79,287
97,std-97,66,91,95,59,311
98,std-98,65,65,64,27,221
99,std-99,47,64,54,23,188
100,std-100,0,37,62,94,193
101,std-101,25,78,69,36,208
102,std-102,78,82,62,15,237
103,std-103,82,84,82,79,327
104,std-104,46,98,96,100,340
105,std-105,13,100,68,10,191
106,std-106,28,79,71,42,220
107,std-107,35,74,58,51,218
108,std-108,39,64,93,77,273
109,std-109,51,69,68,36,224
110,std-110,71,89,71,83,314
111,std-111,45,65,37,50,197
112,std-112,57,60,56,52,225
113,std-113,44,89,100,88,321
114,std-114,20,69,78,61,228
115,std-115,54,95,71,80,300
116,std-116,28,53,84,38,203
117,std-117,21,47,55,49,172
118,std-118,66,91,40,40,237
119,std-119,18,95,72,49,234
120,std-120,70,59,29,50,208
