grade_id,roll_no,math_grade,reading_grade,writing_grade,science_grade,overall_grade
1,std-01,B,F,B,F,C
2,std-02,D,A,D,A,A
3,std-03,F,A,A,F,B
4,std-04,F,F,F,B,D
5,std-05,F,F,D,D,C
6,std-06,F,F,D,F,C
7,std-07,F,F,B,C,C
8,std-08,F,C,F,F,D
9,std-09,F,C,A,C,B
10,std-10,C,F,B,F,C
11,std-11,F,D,B,F,B
12,std-12,F,F,F,F,C
13,std-13,F,C,C,A,B
14,std-14,F,D,C,F,D
15,std-15,C,A,F,D,B
16,std-16,F,A,F,F,C
17,std-17,F,D,B,A,B
18,std-18,F,B,B,C,B
19,std-19,F,C,C,D,B
20,std-20,F,C,C,C,C
21,std-21,F,C,F,F,C
22,std-22,F,D,D,F,D
23,std-23,F,C,F,C,C
24,std-24,B,A,F,F,B
25,std-25,F,D,D,F,D
26,std-26,A,F,C,A,B
27,std-27,D,D,B,F,B
28,std-28,F,F,A,F,C
29,std-29,F,F,F,B,C
30,std-30,F,F,D,C,C
31,std-31,C,B,D,B,B
32,std-32,F,D,B,F,D
33,std-33,F,D,F,F,D
34,std-34,F,C,A,D,B
35,std-35,F,C,C,D,C
36,std-36,B,C,C,F,B
37,std-37,C,B,F,C,B
38,std-38,F,D,F,A,B
39,std-39,D,D,B,A,B
40,std-40,A,B,D,D,B
41,std-41,F,A,F,D,B
42,std-42,F,A,A,F,B
43,std-43,F,F,F,D,C
44,std-44,C,C,B,C,B
45,std-45,D,B,C,A,B
46,std-46,F,F,F,D,C
47,std-47,F,F,C,D,B
48,std-48,F,B,F,F,C
49,std-49,D,A,A,F,B
50,std-50,B,D,F,F,B
51,std-51,B,F,C,D,B
52,std-52,F,D,F,A,B
53,std-53,C,C,D,F,C
54,std-54,F,A,F,F,C
55,std-55,F,A,C,C,B
56,std-56,D,D,F,F,C
57,std-57,F,F,A,F,C
58,std-58,F,A,F,D,C
59,std-59,F,B,C,D,C
60,std-60,F,C,A,F,B
61,std-61,F,A,C,D,B
62,std-62,C,B,C,C,B
63,std-63,F,F,B,C,B
64,std-64,F,C,D,C,C
65,std-65,B,B,C,C,B
66,std-66,B,B,A,A,A
