roll_no,gender,race_ethnicity,parental_level_of_education,test_preparation_course,score_id,grade_id
std-01,male,"group D","some college",True,1,1
std-02,male,"group B","high school",False,2,2
std-03,male,"group C","master's degree",False,3,3
std-04,male,"group D","some college",True,4,4
std-05,male,"group C","some college",True,5,5
std-06,male,"group B","high school",False,6,6
std-07,female,"group C","some college",False,7,7
std-08,male,"group B","associate's degree",True,8,8
std-09,male,"group C","high school",True,9,9
std-10,male,"group C","some high school",False,10,10
std-100,male,"group C","some high school",False,100,100
std-1000,male,"group C","some high school",True,1000,1000
std-10000,female,"group B","high school",False,10000,10000
std-1001,male,"group C","master's degree",False,1001,1001
std-1002,male,"group B","high school",False,1002,1002
std-1003,male,"group E","some high school",False,1003,1003
std-1004,male,"group D","associate's degree",False,1004,1004
std-1005,male,"group C","some high school",False,1005,1005
std-1006,male,"group B","high school",False,1006,1006
std-1007,male,"group B","high school",False,1007,1007
std-1008,male,"group D","some college",True,1008,1008
std-1009,male,"group B","bachelor's degree",True,1009,1009
std-101,male,"group D","associate's degree",True,101,101
std-1010,male,"group C","high school",False,1010,1010
std-1011,male,"group D","some college",True,1011,1011
std-1012,male,"group C","high school",False,1012,1012
std-1013,male,"group D","some college",True,1013,1013
std-1014,male,"group E","some high school",False,1014,1014
std-1015,male,"group E","high school",False,1015,1015
std-1016,male,"group C","high school",False,1016,1016
std-1017,male,"group C","some college",False,1017,1017
std-1018,male,"group C","bachelor's degree",True,1018,1018
std-1019,male,"group E","high school",False,1019,1019
std-102,male,"group B","associate's degree",True,102,102
std-1020,male,"group B","high school",False,1020,1020
std-1021,male,"group C","some high school",False,1021,1021
std-1022,male,"group E","some high school",False,1022,1022
std-1023,male,"group A","some college",False,1023,1023
std-1024,male,"group A","some high school",False,1024,1024
std-1025,male,"group C","high school",True,1025,1025
std-1026,male,"group E","some college",False,1026,1026
std-1027,male,"group E","bachelor's degree",False,1027,1027
std-1028,male,"group B","bachelor's degree",False,1028,1028
std-1029,male,"group B","high school",False,1029,1029
std-103,male,"group B","high school",False,103,103
std-1030,male,"group C","bachelor's degree",False,1030,1030
std-1031,male,"group C","bachelor's degree",False,1031,1031
std-1032,male,"group E","bachelor's degree",True,1032,1032
std-1033,male,"group D","some high school",False,1033,1033
std-1034,male,"group D","high school",False,1034,1034
std-1035,male,"group D","associate's degree",True,1035,1035
std-1036,male,"group D","high school",True,1036,1036
std-1037,male,"group E","high school",False,1037,1037
std-1038,male,"group B","master's degree",False,1038,1038
std-1039,male,"group B","associate's degree",True,1039,1039
std-104,male,"group E","some college",True,104,104
std-1040,male,"group E","associate's degree",False,1040,1040
std-1041,male,"group E","bachelor's degree",True,1041,1041
std-1042,male,"group C","associate's degree",True,1042,1042
std-1043,male,"group D","some high school",True,1043,1043
std-1044,male,"group C","some high school",True,1044,1044
std-1045,male,"group C","bachelor's degree",False,1045,1045
std-1046,male,"group C","master's degree",False,1046,1046
std-1047,male,"group C","master's degree",False,1047,1047
std-1048,male,"group C","bachelor's degree",False,1048,1048
std-1049,male,"group C","some high school",True,1049,1049
std-105,male,"group C","some college",False,105,105
std-1050,male,"group C","high school",False,1050,1050
std-1051,male,"group A","associate's degree",False,1051,1051
std-1052,male,"group D","bachelor's degree",False,1052,1052
std-1053,male,"group A","high school",True,1053,1053
std-1054,male,"group C","some college",False,1054,1054
std-1055,male,"group B","some college",True,1055,1055
std-1056,male,"group D","associate's degree",False,1056,1056
std-1057,male,"group C","some college",False,1057,1057
std-1058,male,"group E","associate's degree",False,1058,1058
std-1059,male,"group E","high school",True,1059,1059
std-106,male,"group D","bachelor's degree",False,106,106
std-1060,male,"group A","some college",False,1060,1060
std-1061,male,"group E","bachelor's degree",True,1061,1061
std-1062,male,"group C","bachelor's degree",True,1062,1062
std-1063,male,"group E","some college",False,1063,1063
std-1064,male,"group D","some high school",False,1064,1064
std-1065,male,"group C","master's degree",False,1065,1065
std-1066,male,"group E","associate's degree",True,1066,1066
std-1067,male,"group D","some college",False,1067,1067
std-1068,male,"group D","some college",False,1068,1068
std-1069,male,"group C","high school",True,1069,1069
std-107,male,"group A","some college",False,107,107
std-1070,male,"group C","associate's degree",False,1070,1070
std-1071,male,"group D","bachelor's degree",True,1071,1071
std-1072,male,"group B","master's degree",False,1072,1072
std-1073,male,"group D","high school",False,1073,1073
std-1074,male,"group E","bachelor's degree",False,1074,1074
std-1075,male,"group C","high school",True,1075,1075
std-1076,male,"group C","master's degree",True,1076,1076
std-1077,male,"group B","high school",True,1077,1077
std-1078,male,"group D","some college",False,1078,1078
std-1079,male,"group E","some college",False,1079,1079
std-108,male,"group A","associate's degree",True,108,108
std-1080,male,"group E","some college",True,1080,1080
std-1081,male,"group A","bachelor's degree",True,1081,1081
std-1082,male,"group D","associate's degree",True,1082,1082
std-1083,male,"group C","bachelor's degree",False,1083,1083
std-1084,male,"group B","some high school",False,1084,1084
std-1085,male,"group C","master's degree",True,1085,1085
std-1086,male,"group A","some high school",True,1086,1086
std-1087,male,"group C","bachelor's degree",True,1087,1087
std-1088,male,"group E","some college",False,1088,1088
std-1089,male,"group D","bachelor's degree",False,1089,1089
std-109,male,"group C","high school",True,109,109
std-1090,male,"group B","high school",False,1090,1090
std-1091,male,"group A","some college",False,1091,1091
std-1092,male,"group A","high school",False,1092,1092
std-1093,male,"group D","bachelor's degree",True,1093,1093
std-1094,male,"group E","bachelor's degree",False,1094,1094
std-1095,male,"group C","some college",False,1095,1095
std-1096,male,"group A","some high school",False,1096,1096
std-1097,male,"group D","some college",True,1097,1097
std-1098,male,"group E","associate's degree",False,1098,1098
std-1099,male,"group C","high school",True,1099,1099
std-11,male,"group C","high school",False,11,11
std-110,male,"group B","master's degree",False,110,110
std-1100,male,"group D","bachelor's degree",False,1100,1100
std-1101,male,"group C","some college",False,1101,1101
std-1102,male,"group B","associate's degree",True,1102,1102
std-1103,male,"group D","bachelor's degree",True,1103,1103
std-1104,male,"group A","master's degree",False,1104,1104
std-1105,male,"group C","some college",True,1105,1105
std-1106,male,"group D","associate's degree",False,1106,1106
std-1107,male,"group D","some college",False,1107,1107
std-1108,male,"group C","some college",False,1108,1108
std-1109,male,"group D","associate's degree",True,1109,1109
std-111,male,"group D","high school",False,111,111
std-1110,male,"group C","some college",True,1110,1110
std-1111,male,"group D","some high school",True,1111,1111
std-1112,male,"group D","high school",False,1112,1112
std-1113,male,"group D","bachelor's degree",False,1113,1113
std-1114,male,"group D","high school",False,1114,1114
std-1115,male,"group D","some high school",False,1115,1115
std-1116,male,"group E","some college",False,1116,1116
std-1117,male,"group C","associate's degree",False,1117,1117
std-1118,male,"group B","some high school",False,1118,1118
std-1119,male,"group C","master's degree",False,1119,1119
std-112,male,"group E","high school",True,112,112
std-1120,male,"group A","high school",False,1120,1120
std-1121,male,"group D","some college",True,1121,1121
std-1122,male,"group D","bachelor's degree",True,1122,1122
std-1123,male,"group C","some college",False,1123,1123
std-1124,male,"group A","master's degree",False,1124,1124
std-1125,male,"group B","high school",True,1125,1125
std-1126,male,"group D","high school",True,1126,1126
std-1127,male,"group D","bachelor's degree",False,1127,1127
std-1128,male,"group B","high school",False,1128,1128
std-1129,male,"group C","master's degree",False,1129,1129
std-113,male,"group C","bachelor's degree",True,113,113
std-1130,male,"group C","some college",False,1130,1130
std-1131,male,"group B","high school",False,1131,1131
std-1132,male,"group C","bachelor's degree",False,1132,1132
std-1133,male,"group C","some college",False,1133,1133
std-1134,male,"group C","some college",True,1134,1134
std-1135,male,"group D","some college",True,1135,1135
std-1136,male,"group C","bachelor's degree",False,1136,1136
std-1137,male,"group C","master's degree",False,1137,1137
std-1138,male,"group B","bachelor's degree",False,1138,1138
std-1139,male,"group D","associate's degree",True,1139,1139
std-114,male,"group C","some high school",False,114,114
std-1140,male,"group B","some high school",False,1140,1140
std-1141,male,"group D","associate's degree",False,1141,1141
std-1142,male,"group C","high school",True,1142,1142
std-1143,male,"group C","some high school",False,1143,1143
std-1144,male,"group D","bachelor's degree",False,1144,1144
std-1145,male,"group B","bachelor's degree",True,1145,1145
std-1146,male,"group E","some college",True,1146,1146
std-1147,male,"group A","some high school",False,1147,1147
std-1148,male,"group C","some high school",False,1148,1148
std-1149,male,"group C","associate's degree",False,1149,1149
std-115,male,"group A","associate's degree",False,115,115
std-1150,male,"group C","some college",False,1150,1150
std-1151,male,"group E","associate's degree",False,1151,1151
std-1152,male,"group B","associate's degree",True,1152,1152
std-1153,male,"group E","some high school",True,1153,1153
std-1154,male,"group D","high school",False,1154,1154
std-1155,male,"group C","some college",False,1155,1155
std-1156,male,"group C","bachelor's degree",True,1156,1156
std-1157,male,"group D","some high school",False,1157,1157
std-1158,male,"group C","some high school",False,1158,1158
std-1159,male,"group E","some high school",True,1159,1159
std-116,male,"group C","associate's degree",False,116,116
std-1160,male,"group D","master's degree",False,1160,1160
std-1161,male,"group B","some college",False,1161,1161
std-1162,male,"group C","some high school",False,1162,1162
std-1163,male,"group B","bachelor's degree",False,1163,1163
std-1164,male,"group D","high school",False,1164,1164
std-1165,male,"group D","some college",True,1165,1165
std-1166,male,"group E","some college",True,1166,1166
std-1167,male,"group D","high school",True,1167,1167
std-1168,male,"group B","some college",False,1168,1168
std-1169,male,"group C","some college",False,1169,1169
std-117,male,"group C","some college",False,117,117
std-1170,male,"group D","some high school",False,1170,1170
std-1171,male,"group C","bachelor's degree",False,1171,1171
std-1172,male,"group A","associate's degree",True,1172,1172
std-1173,male,"group E","some college",True,1173,1173
std-1174,male,"group B","some high school",False,1174,1174
std-1175,male,"group E","master's degree",False,1175,1175
std-1176,male,"group B","some college",False,1176,1176
std-1177,male,"group C","some college",True,1177,1177
std-1178,male,"group B","associate's degree",True,1178,1178
std-1179,male,"group C","some college",True,1179,1179
std-118,male,"group C","some high school",True,118,118
std-1180,male,"group D","associate's degree",False,1180,1180
std-1181,male,"group A","bachelor's degree",False,1181,1181
std-1182,male,"group C","some high school",True,1182,1182
std-1183,male,"group D","some college",False,1183,1183
std-1184,male,"group D","high school",True,1184,1184
std-1185,male,"group E","associate's degree",False,1185,1185
std-1186,male,"group D","some college",True,1186,1186
std-1187,male,"group D","some high school",False,1187,1187
std-1188,male,"group B","associate's degree",False,1188,1188
